Place,Developer,Summary,Price,Sqft
2 BHK Apartment for Sale in Sholinganallur Chennai,DRA D Elite,"DRA D Elite is a project by DRA Group in Chennai. It is a Under Construction project. DRA D Elite offers some of the most conveniently designed Apartment. Located in Sholinganallur, it is a residential project. The project is spread over 1.27 Acres . It has 111 units. DRA D Elite offers some of the most exclusive 2 BHK, 2.5 BHK, 3 BHK, 3.5 BHK. As per the area plan, units are in the size range of 1058.0  1579.0 sq.ft.. Launched in October 2021, DRA D Elite is slated for possession in Sep, 2024. The address of DRA D Elite is S Nos 4972A2, 5061, 5062, Sholinganallur.Read more", 32.5 Lac," 6,983 per sqft"
3 BHK Apartment for Sale in Sholinganallur Chennai,DRA D Elite,"DRA D Elite  is the newest premium residential Apartment project launched in Sholinganallur, just off Old Mahabalipuram Road OMR, Chennai.The residential enclave DRA DElite features the very best in DRA Homes luxury living segment. The project offers spacious Apartments with unique, premium features surrounded by every luxury  facility possible.Read more", 69 Lac," 7,300 per sqft"
2 BHK Apartment for Sale in Kattupakkam Chennai,LML Arshiya,The area is filled with abundent open spaces and lush greenery that will help rejuvenate yourself. The impeccably designed homes also provide wide roads and a secured community where you can live in the company of like minded peopleRead more, 1.54 Cr," 6,400 per sqft"
5 BHK Apartment for Sale in Guindy Chennai,Puravankara Purva Somerset House,"5 BHK Ultra Luxury Home with BluenNex, Automation, Like Intelligent Virtual Home Assistant, Entertainment Ondemand, Intelligent Master Command for all Smart Appliances, Intelligent Biometric Security, Intelligent Lighting & Cooling, Intelligent Motion Sensors, 247 Remote Connectivity to your Home from Anywhere in the World, Intelligent Home Controls by Voice & BluNex App, Last Mile Fibre Optic Infrastructure, Smart HUB for Intelligent Homes. Indoor And Out Door Amenities Gym, Roof Top BBQ Area, The Walled garden, The fragrant Garden, Roof Top Swimming Pool and More.Read more", 48.5 Lac," 5,607 per sqft"
3 BHK Builder Floor for Sale in Madambakkam Chennai,N/a,"3 bhk a brand new resediential flats in Madambakkam 1221 Sq.ft ,Aminities lift,  Main road with potable water, 100 vastu, SCcp, Good residential location.This apartment situated very close to necessary key facilities like hospital 0.5km, School 0.5kmRead more", 80.8 Lac," 7,638 per sqft"
3 BHK Apartment for Sale in Karanai Chennai,N/a,"Elegantly designed 316 apartments on 1.76acres with 77 open spaceSuperb 2 and 3 BHK apartments built on a BS19 storey tower75 amenities  features like exclusive 3,000 sft. swimming pool, vibrant kids play zone, senior citizen park, multi play indoor park, etc.Opulent 7,300 sft. clubhouse with upscale amenities like multipurpose party hall, mini theatre, gym, indoor games room, etc.5,500 sft. podium and park with attractions for all five sensesMeticulously planned 7.2 M wide driveway for easy automobile mobilityThe communitys 14,000 sft. lush green landscapeRead more", 82.8 Lac," 5,690 per sqft"
3 BHK Apartment for Sale in Mogappair Chennai,Casagrand Athens,"Check out Casagrand Athens in Mogappair, one of the upcoming underconstruction housing societies in Chennai North. There are apartments for sale in Casagrand Athens. This society will have all basic facilities and amenities to suit homebuyers needs and requirements.Read more", 57 Lac," 6,064 per sqft"
3 BHK Apartment for Sale in Sholinganallur Chennai,Bhaggyam Athulya,3 bhk for sale in on OMR Road Sholinganallur Chennai, 6.84 Cr," 18,320 per sqft"
2 BHK Apartment for Sale in Kovilambakkam Chennai,TVS Emerald Elements,the calmness of still water. Harbor the warmth of a loving home. Find comfort in the embrace of Earth. Experience laughter and joy that drifts in the breeze. Live in spaces that make you feel free. Presenting the Home of the ElementsRead more, 72 Lac," 5,900 per sqft"
2 BHK Apartment for Sale in Kovilambakkam Chennai,TVS Emerald Elements,"The project houses 820 units with 100 Vaastu Compliance, a Lakeview deck, and 5 different themed terraces with over 50 amenities, all in a premium community with most of the amenities available within reach and tailormade to be a favorable growing environment for children.Read more", 65.8 Lac," 5,430 per sqft"
2 BHK Apartment for Sale in Pallavaram Chennai,N/a,"New booking without brokerage.Luxuriously crafted 250 apartments on a sprawling 3.5 acres.Thoughtfully designed 2, 3 and 4 BHK apartments with 5 floors structure.100 Vaastu compliant homes with zero dead space designSurrounded by prominent schools, colleges, hospitals and IT ITES companiesEXCLUSIVE SITE VISIT AVAILABLE.Good for investment and for living. Please contact for more details. VARSI Property Consultant Authorised channel salesRead more", 1.04 Cr," 7,692 per sqft"
3 BHK Apartment for Sale in Thirumazhisai Chennai,Codename New Porur,"Thirumazhisai is wellconnected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.Read more", 1.33 Cr," 8,659 per sqft"
3 BHK Villa for Sale in Panaiyur Chennai,N/a,"Adityaram Palace City  Paradise is SouthIndias First Ever Palacethemed Villas.NeoClassical Minimalist Architecture for Elegance.Premium Elite Project with Classy Majestic Details.Aesthetic Royal Interiors and Elements of Space, Royalty, Design, Luxury.Matchless Magnificence with Modern Elegance Conveniences.Modern Amenities and Clubhouse Divinely Crafted for Royals.Read more", 92 Lac," 8,695 per sqft"
3 BHK Villa for Sale in Madipakkam Chennai,N/a,Near International schools, 80 Lac," 7,897 per sqft"
3 BHK Builder Floor for Sale in T Nagar Chennai,N/a,"Caiseal is ultra luxury Apartment project located in T Nagar near T nagar  bus stand. this is  a very prime location in the city. just 400 mtrs from all major shopping malls like pothys, chennai silks etc. fully surrounded by major schools and colleges. excellent connectivity by road and train. CMDA approved luxury Flats with essential amenities like securities, video call door bell, CCTV cameras, piped gas connection , good water supply etc. total 6 ubits only.Read more", 49 Lac," 7,562 per sqft"
3 BHK Apartment for Sale in Sholinganallur Chennai,N/a,"Spread over a sprawling 7.6acres  NCC Urban Signature Towers is a bold, Ultra Modern, Ultra Luxurious residential project. Sleek, Minimalistic and contemporary, its been thoughtfully designed to offer abundant natural light ventilation at every level. Our project is smartly distant from the main roads keep off sound and pollution, yet close to everything you need. NCC Urban Signature Towers is far more than just a luxurious, world class living space in chennai.Read more", 41.5 Lac," 3,900 per sqft"
3 BHK Builder Floor for Sale in Tiruvottiyur Chennai,Radiance Flourish,"To flourish, thrive, and grow  that is the essence of life. Radiance Realty proudly presents Flourish at Thiruvottiyur, a minute away from Thiruvottiyur metro station, bus depot and railway station, an uberrich gated community that ensures your wealth and wellness grow together. Lavishly spread across 5 acres, Flourish offers you 395 luxury apartments ranging from 1030 sqft. to 1630 sqftRead more", 3.72 Cr," 15,277 per sqft"
3 BHK Apartment for Sale in Sholinganallur Chennai,ASV Alexandria,"Alexandria is a seafacing, luxury residential enclave on the IT corridor. Named after the ancient city, the four towers of Alexandria rise majestically over 6 acres of lush greenery and water bodies, overlooking the Bay of Bengal.Built to international standards with stateoftheart infrastructure and excellent social and civic amenities, Alexandria boasts of a host of luxury features, contemporary architecture, ideal location and is pedestrian friendly.Read more", 1.10 Cr," 6,667 per sqft"
2 BHK Apartment for Sale in Saligramam Chennai,Raghavendra Flats,"If youre looking for a place to call home, look no further than 8252bhk for sale in Saligramam. This gorgeously designed home offers a great balance between city convenience and peaceful suburban living. Located in one of the most soughtafter neighborhoods in Chennai, this home is close to shopping, dining, and entertainment. The interior of the house features an open concept floor plan with spacious bedrooms and living areas, a kitchen, and a private balcony. The exterior of the house is just as impressive, with its lush landscaping.Read more", 2.48 Cr," 16,814 per sqft"
3 BHK Builder Floor for Sale in Saligramam Chennai,N/a,"near by main road,nearby school", 86.1 Lac," 5,700 per sqft"
1 BHK Apartment for Sale in Poonamallee Chennai,VRX Fete,"Residential project, Vijay Raja VRX Fete in Chennai is offering units for sale in Poonamallee. Check out some Apartment that suit your lifestyle and liking. Possession date of Vijay Raja VRX Fete is Nov, 2024. The property offers Studio, 1 BHK, 2 BHK units. As per the area plan, units are in the size range of 352.0  882.0 sq.ft.. This residential project was launched in May 2022. There are 2 buildings in this project. Contact for further details. Vijay Raja VRX Fete is located in S.Nos.2562A And 2563B Of Poonamallee.In terms of facilities, Vijay Raja VRX Fete is loaded with multiple offerRead more", 1.07 Cr," 6,499 per sqft"
2 BHK  House for Sale in Leelavathi Nagar Chennai,N/a,"Individual House For Sale2 UNITS AvailableGerugambakkam Leelavathi nagar, 7th StreetDuplex homeCMDA approvedLand South facingConstructed according to VastuMain door 1st quality teak woodUPVC windows with mosquito netlonLand area 655sqftTotal builtup area  1410sqftWater tank capacity1000 litresMetro water Sump capacity 7000 litresSeptic tank capacity 7000 litresPipe connections for camera and UPS are already setRain water harvesting is doneModular kitchenFurniture workRead more", 1.30 Cr," 7,027 per sqft"
3 BHK  House for Sale in Balaji Nagar Ambattur Chennai,N/a,"Elegant 3BHK on North facing home, Beautiful and spacious bedroom, well designed Kitchen, Utility area, with an spacious Balcony and Bathrooms,even comes with ample space for parking of car and bike.Read more", 89 Lac," 10,533 per sqft"
3 BHK Apartment for Sale in Anna Nagar Chennai,TVS Emerald Luxor,"Standing tall in 2.1 acres of land, TVS Emerald Luxor offers 3  4 BHK luxury abodes with extensive amenities. Located Behind VR Chennai 10 min walk from Kendriya Vidyalaya Luxury Apartments with Italian Marble Flooring in LivingDining and  Balcony Decks with Glass Railings IGBC Gold PreCertified 40 Luxurious Amenities BaliThemed Clubhouse  Pool Zone Air Conditioners in the LivingDining and all Bedrooms 1 EV Charging Point per HomeRead more", 1.30 Cr," 10,744 per sqft"
2 BHK Apartment for Sale in Mangadu Chennai,N/a,"Shriram Properties has proposed Divine City Phase 2, a residential project in Mangadu, Chennai. Few units are available and these can be bought from the developer. Housing is located in Mangadu which is a popular locality in Chennai. It is well connected to its neighbouring areas. Many good schools, educational institutes, and reputed hospitals are established here. Malls, restaurants, banks and other utility shops are also located in the vicinity. It is a good place to own a residential property.Read more", 36 Lac," 7,725 per sqft"
2 BHK Builder Floor for Sale in Athipet Chennai,N/a,"Property is located closed to mogappair west ,low rise apartments with Spacious balcony ,open Terrace ,Roof top amenties , 100 vaastu with good UDS .Read more", 71.5 Lac," 5,071 per sqft"
2 BHK Apartment for Sale in Anna Nagar Chennai,N/a,"2 BHK, Multistorey Apartment is available for Sale in Anna Nagar, Chennai for 1.5 Crore(s)Read more", 71.8 Lac," 5,204 per sqft"
